age,job,saving_accounts,checking_account,credit_amount,duration,purpose,risk
67,2,,little,1169,6,radio/TV,good
22,2,little,moderate,5951,48,radio/TV,bad
49,1,little,,2096,12,education,good
45,2,little,little,7882,42,furniture/equipment,good
53,2,little,little,4870,24,car,bad
35,1,,,9055,36,education,good
53,2,quite rich,,2835,24,furniture/equipment,good
35,3,little,moderate,6948,36,car,good
61,1,rich,,3059,12,radio/TV,good
28,3,little,moderate,5234,30,car,bad
25,2,little,moderate,1295,12,car,bad
24,2,little,little,4308,48,business,bad
22,2,little,moderate,1567,12,radio/TV,good
60,1,little,little,1199,24,car,bad
28,2,little,little,1403,15,car,good
32,1,moderate,little,1282,24,radio/TV,bad
53,2,,,2424,24,radio/TV,good
25,2,,little,8072,30,business,good
44,3,little,moderate,12579,24,car,bad
31,2,quite rich,,3430,24,radio/TV,good
48,2,little,,2134,9,car,good
44,2,quite rich,little,2647,6,radio/TV,good
48,1,little,little,2241,10,car,good
44,2,moderate,moderate,1804,12,car,good
26,2,,,2069,10,furniture/equipment,good
36,1,little,little,1374,6,furniture/equipment,good
39,1,little,,426,6,radio/TV,good
42,2,rich,rich,409,12,radio/TV,good
34,2,little,moderate,2415,7,radio/TV,good
63,2,little,little,6836,60,business,bad
36,2,rich,moderate,1913,18,business,good
27,2,little,little,4020,24,furniture/equipment,good
30,2,moderate,moderate,5866,18,car,good
57,1,,,1264,12,business,good
33,3,little,rich,1474,12,furniture/equipment,good
25,1,little,moderate,4746,45,radio/TV,bad
31,2,little,,6110,48,education,good
37,2,little,rich,2100,18,radio/TV,bad
37,2,little,rich,1225,10,domestic appliances,good
24,2,little,moderate,458,9,radio/TV,good
30,3,quite rich,,2333,30,radio/TV,good
26,2,quite rich,moderate,1158,12,radio/TV,good
44,1,little,moderate,6204,18,repairs,good
24,2,moderate,little,6187,30,car,good
58,1,little,little,6143,48,car,bad
35,3,little,,1393,11,car,good
39,2,quite rich,,2299,36,radio/TV,good
23,0,quite rich,little,1352,6,car,good
39,1,little,,7228,11,car,good
28,2,moderate,,2073,12,radio/TV,good
29,1,,moderate,2333,24,furniture/equipment,good
30,3,little,moderate,5965,27,car,good
25,2,little,,1262,12,radio/TV,good
31,2,,,3378,18,car,good
57,2,little,moderate,2225,36,car,bad
26,1,,,783,6,car,good
52,3,,moderate,6468,12,radio/TV,bad
31,2,little,,9566,36,radio/TV,good
23,3,little,rich,1961,18,car,good
23,1,little,little,6229,36,furniture/equipment,bad
27,2,little,moderate,1391,9,business,good
50,2,,moderate,1537,15,radio/TV,good
61,3,little,moderate,1953,36,business,bad
25,2,little,moderate,14421,48,business,bad
26,2,little,,3181,24,radio/TV,good
48,2,,,5190,27,repairs,good
29,2,little,,2171,12,radio/TV,good
22,2,rich,moderate,1007,12,car,good
37,2,little,,1819,36,education,bad
25,2,,,2394,36,radio/TV,good
30,2,little,,8133,36,car,good
46,1,,,730,7,radio/TV,good
51,3,little,little,1164,8,vacation/others,good
41,1,little,moderate,5954,42,business,good
40,3,,little,1977,36,education,bad
66,3,little,little,1526,12,car,good
34,2,little,little,3965,42,radio/TV,bad
51,2,little,moderate,4771,11,radio/TV,good
39,1,,,9436,54,car,good
22,2,little,moderate,3832,30,furniture/equipment,good
44,2,,,5943,24,radio/TV,bad
47,2,quite rich,,1213,15,radio/TV,good
24,1,moderate,,1568,18,business,good
58,1,little,little,1755,24,vacation/others,good
52,1,little,little,2315,10,radio/TV,good
29,3,little,,1412,12,business,good
27,2,little,moderate,1295,18,furniture/equipment,good
47,2,moderate,moderate,12612,36,education,bad
